model,dataset,pct,trial,train_time,test_acc
Perceptron,face,0.1,0,0.1023468971252441,0.6066666666666667
Perceptron,face,0.1,1,0.1435520648956298,0.6
Perceptron,face,0.1,2,0.1215400695800781,0.56
Perceptron,face,0.1,3,0.1777021884918213,0.5933333333333334
Perceptron,face,0.1,4,0.196376085281372,0.5933333333333334
Perceptron,face,0.2,0,0.159571886062622,0.6066666666666667
Perceptron,face,0.2,1,0.1664950847625732,0.7266666666666667
Perceptron,face,0.2,2,0.1360561847686767,0.7133333333333334
Perceptron,face,0.2,3,0.1301882266998291,0.6666666666666666
Perceptron,face,0.2,4,0.1730580329895019,0.72
Perceptron,face,0.3,0,0.3093240261077881,0.7466666666666667
Perceptron,face,0.3,1,0.1608738899230957,0.72
Perceptron,face,0.3,2,0.1783080101013183,0.7733333333333333
Perceptron,face,0.3,3,0.1532421112060547,0.74
Perceptron,face,0.3,4,0.1551101207733154,0.7666666666666667
Perceptron,face,0.4,0,0.2466962337493896,0.78
Perceptron,face,0.4,1,0.2812771797180176,0.8
Perceptron,face,0.4,2,0.2937390804290771,0.7866666666666666
Perceptron,face,0.4,3,0.2335000038146972,0.7933333333333333
Perceptron,face,0.4,4,0.2879297733306885,0.78
Perceptron,face,0.5,0,0.3040850162506103,0.8133333333333334
Perceptron,face,0.5,1,0.26320481300354,0.74
Perceptron,face,0.5,2,0.3052420616149902,0.7933333333333333
Perceptron,face,0.5,3,0.2906560897827148,0.7866666666666666
Perceptron,face,0.5,4,0.2182960510253906,0.8066666666666666
Perceptron,face,0.6,0,0.3012049198150635,0.76
Perceptron,face,0.6,1,0.2608339786529541,0.7666666666666667
Perceptron,face,0.6,2,0.3513839244842529,0.7466666666666667
Perceptron,face,0.6,3,0.3042020797729492,0.8066666666666666
Perceptron,face,0.6,4,0.2999088764190674,0.82
Perceptron,face,0.7,0,0.2965073585510254,0.84
Perceptron,face,0.7,1,0.4293050765991211,0.84
Perceptron,face,0.7,2,0.3185670375823974,0.8066666666666666
Perceptron,face,0.7,3,0.3477978706359863,0.74
Perceptron,face,0.7,4,0.3606290817260742,0.7466666666666667
Perceptron,face,0.8,0,0.416388988494873,0.7666666666666667
Perceptron,face,0.8,1,0.4540989398956299,0.84
Perceptron,face,0.8,2,0.4604082107543945,0.7466666666666667
Perceptron,face,0.8,3,0.3811290264129638,0.86
Perceptron,face,0.8,4,0.3856918811798095,0.84
Perceptron,face,0.9,0,0.3944599628448486,0.82
Perceptron,face,0.9,1,0.4407827854156494,0.8733333333333333
Perceptron,face,0.9,2,0.453557014465332,0.8133333333333334
Perceptron,face,0.9,3,0.5404407978057861,0.8733333333333333
Perceptron,face,0.9,4,0.6029541492462158,0.8
Perceptron,face,1.0,0,0.5664410591125488,0.86
Perceptron,face,1.0,1,0.5940377712249756,0.8466666666666667
Perceptron,face,1.0,2,0.6353318691253662,0.84
Perceptron,face,1.0,3,0.5981600284576416,0.8333333333333334
Perceptron,face,1.0,4,0.5348739624023438,0.88
Perceptron,face,0.1,0,0.1355209350585937,0.6
Perceptron,face,0.1,1,0.16074800491333,0.6066666666666667
Perceptron,face,0.1,2,0.1571047306060791,0.6133333333333333
Perceptron,face,0.1,3,0.1763300895690918,0.6066666666666667
Perceptron,face,0.1,4,0.1520588397979736,0.6
Perceptron,face,0.2,0,0.1724500656127929,0.6666666666666666
Perceptron,face,0.2,1,0.199692964553833,0.6533333333333333
Perceptron,face,0.2,2,0.2258820533752441,0.68
Perceptron,face,0.2,3,0.2155709266662597,0.66
Perceptron,face,0.2,4,0.2242038249969482,0.6
Perceptron,face,0.3,0,0.2225561141967773,0.74
Perceptron,face,0.3,1,0.1922938823699951,0.7666666666666667
Perceptron,face,0.3,2,0.3254570960998535,0.76
Perceptron,face,0.3,3,0.3475100994110107,0.78
Perceptron,face,0.3,4,0.3442456722259521,0.6933333333333334
Perceptron,face,0.4,0,0.2860679626464844,0.7466666666666667
Perceptron,face,0.4,1,0.215289831161499,0.8
Perceptron,face,0.4,2,0.2973890304565429,0.7666666666666667
Perceptron,face,0.4,3,0.3115608692169189,0.82
Perceptron,face,0.4,4,0.3703680038452148,0.8
Perceptron,face,0.5,0,0.2443430423736572,0.78
Perceptron,face,0.5,1,0.3255579471588135,0.8333333333333334
Perceptron,face,0.5,2,0.254702091217041,0.76
Perceptron,face,0.5,3,0.312453031539917,0.8066666666666666
Perceptron,face,0.5,4,0.3215377330780029,0.8266666666666667
Perceptron,face,0.6,0,0.3749339580535888,0.7266666666666667
Perceptron,face,0.6,1,0.4255199432373047,0.76
Perceptron,face,0.6,2,0.4127731323242187,0.7733333333333333
Perceptron,face,0.6,3,0.4495899677276611,0.78
Perceptron,face,0.6,4,0.3116312026977539,0.8133333333333334
Perceptron,face,0.7,0,0.4373922348022461,0.86
Perceptron,face,0.7,1,0.93469500541687,0.8
Perceptron,face,0.7,2,1.0205481052398682,0.72
Perceptron,face,0.7,3,0.8234241008758545,0.8333333333333334
Perceptron,face,0.7,4,0.8154370784759521,0.8733333333333333
Perceptron,face,0.8,0,0.4662880897521972,0.7866666666666666
Perceptron,face,0.8,1,0.5900568962097168,0.7733333333333333
Perceptron,face,0.8,2,0.4786276817321777,0.7933333333333333
Perceptron,face,0.8,3,0.4721322059631347,0.84
Perceptron,face,0.8,4,0.5138678550720215,0.8533333333333334
Perceptron,face,0.9,0,0.5916168689727783,0.8266666666666667
Perceptron,face,0.9,1,0.5809237957000732,0.84
Perceptron,face,0.9,2,0.4962868690490722,0.8466666666666667
