model,dataset,pct,trial,train_time,test_acc
Perceptron,digit,0.1,0,0.0780141353607177,0.463
Perceptron,digit,0.1,1,0.0935268402099609,0.494
Perceptron,digit,0.1,2,0.1275441646575927,0.446
Perceptron,digit,0.1,3,0.1097657680511474,0.459
Perceptron,digit,0.1,4,0.1106390953063964,0.447
Perceptron,digit,0.2,0,0.2486851215362548,0.465
Perceptron,digit,0.2,1,0.2226510047912597,0.429
Perceptron,digit,0.2,2,0.1648569107055664,0.459
Perceptron,digit,0.2,3,0.1341509819030761,0.45
Perceptron,digit,0.2,4,0.1469981670379638,0.51
Perceptron,digit,0.3,0,0.2567729949951172,0.674
Perceptron,digit,0.3,1,0.2172107696533203,0.659
Perceptron,digit,0.3,2,0.2473371028900146,0.691
Perceptron,digit,0.3,3,0.2738339900970459,0.644
Perceptron,digit,0.3,4,0.350200891494751,0.636
Perceptron,digit,0.4,0,0.4179000854492187,0.594
Perceptron,digit,0.4,1,0.4500322341918945,0.62
Perceptron,digit,0.4,2,0.4132542610168457,0.61
Perceptron,digit,0.4,3,0.4726490974426269,0.587
Perceptron,digit,0.4,4,0.3938441276550293,0.589
Perceptron,digit,0.5,0,0.5449302196502686,0.531
Perceptron,digit,0.5,1,0.4769682884216308,0.553
Perceptron,digit,0.5,2,0.5986490249633789,0.604
Perceptron,digit,0.5,3,0.6366639137268066,0.524
Perceptron,digit,0.5,4,0.592484712600708,0.51
Perceptron,digit,0.6,0,0.8162617683410645,0.555
Perceptron,digit,0.6,1,0.7657668590545654,0.527
Perceptron,digit,0.6,2,0.6825218200683594,0.578
Perceptron,digit,0.6,3,0.6793420314788818,0.587
Perceptron,digit,0.6,4,0.6910140514373779,0.596
Perceptron,digit,0.7,0,0.9570062160491944,0.601
Perceptron,digit,0.7,1,1.0178780555725098,0.578
Perceptron,digit,0.7,2,1.0463111400604248,0.604
Perceptron,digit,0.7,3,1.1166229248046875,0.607
Perceptron,digit,0.7,4,0.8871688842773438,0.57
Perceptron,digit,0.8,0,1.3262660503387451,0.648
Perceptron,digit,0.8,1,1.259641170501709,0.623
Perceptron,digit,0.8,2,1.2713918685913086,0.636
Perceptron,digit,0.8,3,1.1057052612304688,0.645
Perceptron,digit,0.8,4,1.2421629428863523,0.67
Perceptron,digit,0.9,0,1.4437029361724854,0.579
Perceptron,digit,0.9,1,1.4968469142913818,0.627
Perceptron,digit,0.9,2,1.5480198860168457,0.64
Perceptron,digit,0.9,3,1.7519330978393557,0.609
Perceptron,digit,0.9,4,1.6320438385009766,0.668
Perceptron,digit,1.0,0,1.795428991317749,0.599
