pct,train_time_mean,train_time_std,test_acc_mean,test_acc_std
0.1,0.20505947113037107,0.10144724239390454,0.4682,0.04491195089654126
0.2,0.24722826004028317,0.05095025917335499,0.5392,0.08247272276334759
0.3,0.3644262981414795,0.08197216919997087,0.68296,0.03935466935447432
0.4,0.4920696258544922,0.07415449988737056,0.66848,0.08162573123715332
0.5,0.6673418140411377,0.10640480044839491,0.62092,0.08495828388097298
0.6,0.9130060768127441,0.2058387340286256,0.6457200000000001,0.09497390869777518
0.7,1.2021882438659668,0.2143355254715811,0.6704000000000001,0.10424290543405497
0.8,1.539411382675171,0.34951151038043765,0.7006399999999999,0.09471223081876314
0.9,1.860605583190918,0.3701602151983254,0.6914,0.09366651838659679
1.0,2.2563412475585936,0.47643950928284856,0.6751999999999999,0.11387237007574173
