pct,mean_train_sec,mean_err,std_err,mean_val_acc,std_val_acc
0.1,0.7934027671813965,0.304,0.04310194633398565,0.7029900332225913,0.06495844999045987
0.2,1.5152225494384766,0.24266666666666667,0.09690774536181877,0.7687707641196013,0.08459048504111155
0.30000000000000004,2.4507588386535644,0.1733333333333333,0.06531972647421806,0.79734219269103,0.07659230487307978
0.4,3.4088226318359376,0.144,0.02564717874889515,0.8538205980066446,0.021530699994710495
0.5,4.233303546905518,0.15866666666666665,0.0184992492340155,0.8538205980066446,0.025301571780278757
0.6000000000000001,4.3529761791229244,0.13066666666666665,0.01920648038785056,0.8757475083056478,0.008976249891100522
0.7000000000000001,5.2603192806243895,0.13733333333333334,0.04462186808181738,0.8803986710963455,0.01694026416476006
0.8,5.3101891040802,0.13333333333333336,0.015634719199411437,0.8737541528239202,0.01819676270781283
0.9,5.610779666900635,0.13333333333333336,0.009428090415820633,0.8883720930232558,0.01256323614696946
1.0,6.159929370880127,0.14266666666666666,0.0036514837167010697,0.8830564784053155,0.005459028812343857
