fraction,training_time_mean,training_time_std,test_accuracy_mean,test_accuracy_std,prediction_error_mean,prediction_error_std
0.1,3.2125331080053003,1.1027555523939119,0.698828125,0.014084184256497403,0.301171875,0.014084184256497401
0.2,6.010016516805626,2.4272327553108246,0.7999218747019767,0.012126373788583184,0.2000781252980232,0.012126373788583182
0.30000000000000004,5.59183274160605,1.2886038722508777,0.8319531247019768,0.009860476952956781,0.16804687529802323,0.00986047695295679
0.4,7.197941716620699,2.4564718430017134,0.8385937497019768,0.011091274328964078,0.16140625029802322,0.011091274328964073
0.5,7.6121993831824515,2.073644764034254,0.863671875,0.01328986420827528,0.136328125,0.013289864208275286
0.6,6.805711458413862,1.633004114678275,0.8727343752980232,0.009692696503516403,0.12726562470197678,0.009692696503516401
0.7000000000000001,9.774582616798579,3.446222865164406,0.8802343741059303,0.010866117687901754,0.11976562589406967,0.01086611768790175
0.8,9.777315208618528,2.062375315054791,0.890624999254942,0.010694139507383642,0.10937500074505806,0.010694139507383649
0.9,11.270866725197994,3.3043818905645623,0.9010156244039536,0.008948638736955977,0.09898437559604645,0.008948638736955972
1.0,12.249991216766649,3.7317042442127146,0.8876562505960465,0.009550762044242798,0.11234374940395356,0.009550762044242796
