fraction,training_time_mean,training_time_std,test_accuracy_mean,test_accuracy_std,prediction_error_mean,prediction_error_std
0.1,6.221514458395541,0.7455348066315185,0.8975,0.05423175846883017,0.1025,0.05423175846883015
0.2,6.870660491404124,1.2223618821076758,0.921704547405243,0.023848074518575416,0.07829545259475708,0.02384807451857541
0.30000000000000004,8.827279224991798,1.2054961944361822,0.9292045450210571,0.036008112679182455,0.07079545497894288,0.036008112679182455
0.4,9.594174258201383,2.6330241622567105,0.9745454549789428,0.013656469804118618,0.025454545021057106,0.013656469804118615
0.5,11.150623591197654,2.8591343687014916,0.8746590900421143,0.15078436699325515,0.12534090995788572,0.15078436699325515
0.6,14.885412249807269,9.146241045281888,0.9696590900421143,0.013449238928563086,0.030340909957885742,0.013449238928563081
0.7000000000000001,16.47625941662118,3.8538927911824623,0.9664772701263427,0.0077593753992874345,0.03352272987365723,0.007759375399287442
0.8,15.397185774799436,2.8571530910985614,0.9788636350631714,0.008611283035760947,0.021136364936828623,0.008611283035760952
0.9,17.42925207519438,5.985055373040675,0.9795454525947571,0.010003873493832261,0.02045454740524293,0.010003873493832296
1.0,18.630509316571988,6.278434430500723,0.9844318175315857,0.02158941452115821,0.015568182468414293,0.02158941452115822
