fraction,training_time_mean,training_time_std,test_accuracy_mean,test_accuracy_std,prediction_error_mean,prediction_error_std,Model
0.1,3.2125331080053003,1.1027555523939119,0.698828125,0.014084184256497403,0.301171875,0.014084184256497401,Digit Classification
0.2,6.010016516805626,2.4272327553108246,0.7999218747019767,0.012126373788583184,0.2000781252980232,0.012126373788583182,Digit Classification
0.30000000000000004,5.59183274160605,1.2886038722508777,0.8319531247019768,0.009860476952956781,0.16804687529802323,0.00986047695295679,Digit Classification
0.4,7.197941716620699,2.4564718430017134,0.8385937497019768,0.011091274328964078,0.16140625029802322,0.011091274328964073,Digit Classification
0.5,7.6121993831824515,2.073644764034254,0.863671875,0.01328986420827528,0.136328125,0.013289864208275286,Digit Classification
0.6,6.805711458413862,1.633004114678275,0.8727343752980232,0.009692696503516403,0.12726562470197678,0.009692696503516401,Digit Classification
0.7000000000000001,9.774582616798579,3.446222865164406,0.8802343741059303,0.010866117687901754,0.11976562589406967,0.01086611768790175,Digit Classification
0.8,9.777315208618528,2.062375315054791,0.890624999254942,0.010694139507383642,0.10937500074505806,0.010694139507383649,Digit Classification
0.9,11.270866725197994,3.3043818905645623,0.9010156244039536,0.008948638736955977,0.09898437559604645,0.008948638736955972,Digit Classification
1.0,12.249991216766649,3.7317042442127146,0.8876562505960465,0.009550762044242798,0.11234374940395356,0.009550762044242796,Digit Classification
0.1,6.221514458395541,0.7455348066315185,0.8975,0.05423175846883017,0.1025,0.05423175846883015,Face Classification
0.2,6.870660491404124,1.2223618821076758,0.921704547405243,0.023848074518575416,0.07829545259475708,0.02384807451857541,Face Classification
0.30000000000000004,8.827279224991798,1.2054961944361822,0.9292045450210571,0.036008112679182455,0.07079545497894288,0.036008112679182455,Face Classification
0.4,9.594174258201383,2.6330241622567105,0.9745454549789428,0.013656469804118618,0.025454545021057106,0.013656469804118615,Face Classification
0.5,11.150623591197654,2.8591343687014916,0.8746590900421143,0.15078436699325515,0.12534090995788572,0.15078436699325515,Face Classification
0.6,14.885412249807269,9.146241045281888,0.9696590900421143,0.013449238928563086,0.030340909957885742,0.013449238928563081,Face Classification
0.7000000000000001,16.47625941662118,3.8538927911824623,0.9664772701263427,0.0077593753992874345,0.03352272987365723,0.007759375399287442,Face Classification
0.8,15.397185774799436,2.8571530910985614,0.9788636350631714,0.008611283035760947,0.021136364936828623,0.008611283035760952,Face Classification
0.9,17.42925207519438,5.985055373040675,0.9795454525947571,0.010003873493832261,0.02045454740524293,0.010003873493832296,Face Classification
1.0,18.630509316571988,6.278434430500723,0.9844318175315857,0.02158941452115821,0.015568182468414293,0.02158941452115822,Face Classification
