pct,mean_train_sec,mean_err,std_err,mean_val_acc,std_val_acc
0.1,0.8079159259796143,0.4096,0.027327641683833587,0.6292,0.043945420694311295
0.2,1.2747294425964355,0.34159999999999996,0.023765521244020732,0.7183999999999999,0.018077610461562674
0.30000000000000004,1.9497870922088623,0.296,0.020591260281973972,0.7668,0.016161683080669533
0.4,2.304366683959961,0.2872,0.03545701623092386,0.7584,0.018889150324988144
0.5,2.6017456531524656,0.2664,0.013813037319865619,0.7756000000000001,0.009528903399657276
0.6000000000000001,3.041434574127197,0.2464,0.01558204094462598,0.796,0.012247448713915915
0.7000000000000001,3.421325349807739,0.2364,0.011349008767288895,0.7972,0.007293833011524183
0.8,3.7515225410461426,0.22719999999999999,0.010059821071967442,0.8024000000000001,0.008414273587185073
0.9,4.669414758682251,0.21999999999999997,0.0137113092008021,0.8124,0.010899541274750906
1.0,5.347479248046875,0.21599999999999997,0.0,0.8160000000000001,0.0
